date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2026-01-01,6.675346380000001,0.54,0.86318026,0.8176437000000001,3.15114139,0.54,0.5859266200000001,2.92829108,7.66028659,5.89977559,1.02611554,5.31705414,1.21420995,2.30398303,8.234517460000001,1.77207189,1.19218923,1.92991456,2.60047341,1.73454455,1.29132567,0.62955616,1.72318219,2.55791637,1.68920073,2.68609295,1.00565138,4.09830541,2.96351691,2.94469786,1.90556581,3.01787636,5.07631739,1.04252173,4.30842223,1.55311526,1.78889556,6.22230733,0.93745914,1.77444931,3.56332019,1.13171647,2.2228055,5.51708213,10.3535777,1.52955991,5.21313458,2.20495094,1.00748579,2.05332565
2026-01-02,2.93636097,2.9166107,0.54,0.60238546,2.30072496,0.80327279,0.54,2.93865172,3.8016057,4.79084553,1.35908838,9.02449519,1.76888026,1.27890131,4.6871594100000005,3.64131016,2.10759343,0.70396968,2.18820661,1.32585678,2.72183903,0.82095215,2.18054525,1.62789949,2.17090852,4.75395914,1.54277549,3.60561308,3.40586506,2.65466718,0.94054756,2.142184,4.6163525100000005,3.18632561,3.17375367,0.60928461,1.32192722,4.56916205,0.54,2.58234211,5.64155105,1.14753428,3.17745749,7.28937776,23.88286636,0.54,5.92078327,1.57782891,2.28244368,4.11733445
2026-01-03,2.11580163,0.94502865,1.43392442,0.55873183,1.23296655,0.38,0.38,3.75816668,4.18346865,1.14801874,1.46466468,4.86979164,0.85661484,1.3814571,0.83669299,0.42701715,1.82246112,0.50776526,0.83376689,2.84623479,1.28465177,0.81332432,1.47396489,1.59181486,3.79195555,6.42261866,1.25561142,1.85860195,3.06550751,2.01469728,2.66457923,1.05314231,1.49551003,1.66048977,3.81377879,0.38,1.4511699500000002,2.15677384,1.22020606,2.36286392,3.19850347,1.38257339,3.45169371,7.68254279,16.14818725,0.38,2.6429912,1.14088968,1.41029386,3.74848901
2026-01-04,3.29943194,0.8200000000000001,0.8200000000000001,0.8200000000000001,5.21823573,1.50705109,1.19492927,4.72042795,5.44408976,3.94722493,1.91287229,5.31026133,3.10641916,2.7337226,2.69996067,1.11844336,2.0867643,2.08069665,1.8387168,2.95962649,1.73379655,3.19511348,3.02234646,1.10306279,2.13559786,8.03604039,2.95310079,5.73849872,5.41114878,1.73471993,2.88541554,1.173206,6.07281373,2.34732277,5.42014354,1.2026601,1.87110047,6.15364514,0.8200000000000001,2.22537225,5.24071544,1.89585975,4.35569946,8.12815278,13.30861565,1.42564773,3.94883447,1.08243496,1.72496612,5.01509404
2026-01-05,4.12804074,0.87067497,1.02567787,2.25343052,4.5119024,0.83762395,0.78274172,4.04020838,4.96474535,4.6440215,2.88136645,5.9770089,4.1562227,3.66907049,2.50412111,1.57813648,1.67865824,2.28211847,1.714717,1.69304253,1.25771195,1.88312709,3.08145387,1.60582636,1.01023785,7.48280605,1.63327768,5.14569795,5.22820781,1.9257705,2.88379939,1.10665362,2.61423644,3.5942960100000003,4.24100724,1.18463132,2.98738738,5.44248781,0.72,2.69101947,5.00724434,3.03877198,9.27745849,9.09085667,21.27202673,1.33013557,8.06093465,2.32600806,2.71432898,4.96906901
2026-01-06,2.24126182,0.14,0.14,0.4226464,2.81623703,0.14,0.14,1.41859486,1.91606297,1.91626432,0.41347645,3.10842553,1.21059905,0.75318544,1.19896912,1.2382981400000002,1.08201559,0.65280692,1.23653319,1.24884589,0.76153292,0.90238651,0.95815628,1.85109783,0.39316788,3.8393972,2.43508894,2.3797527,1.51564307,0.7989671500000001,1.10860992,0.41589904,0.23258356,1.94335805,2.30274144,0.14,0.4264276,4.27260797,0.3058644,2.28384126,4.43025018,0.93923991,4.05769495,3.8042584,11.1607398,0.14,2.01248646,1.21640281,0.84421151,0.69336952
2026-01-07,2.87583661,0.54,1.34222415,1.36595832,2.34822811,1.13563421,0.98810748,3.63619102,5.62698515,2.55040112,1.280294,4.59851844,0.61405449,1.00026822,3.08460077,1.42054028,1.35662354,1.48074656,2.62642621,0.90440296,3.3229654600000003,2.82683476,1.15085573,0.54,1.08206343,3.33029802,0.9876198,3.77983638,2.82966528,2.01189272,1.307972,0.93545502,2.79695825,2.54765603,3.60912026,2.06465328,1.5960661,4.98049513,0.54,2.35038394,2.81044178,1.18187033,4.32752109,5.61936975,12.85827355,0.7474944,3.92382723,0.98582516,1.30839125,4.87015226
2026-01-08,2.56881762,0.48,0.48,0.62400541,2.579742,1.48,1.73846004,3.57572667,7.90468087,4.00244135,0.92852933,4.62333468,1.6933084,2.67048605,3.76611603,2.29400287,2.63234835,1.06949383,1.50958966,1.23840351,1.92916949,2.77509652,2.02195715,0.8221417599999999,2.20535327,3.2512204,2.16191386,2.77522991,2.4460786100000003,2.55626743,3.90804008,1.37986232,1.20078403,3.33290004,3.5741457800000003,0.48,2.32402959,2.19781073,0.48,2.1920661100000003,3.76220886,0.86169684,1.99115112,4.69811612,8.3950299,0.6481181,5.75936374,0.93862999,1.66764208,1.40448934
2026-01-09,0.47482322,0.0,0.0,0.04955388,0.0,0.0,0.11621938,0.04111949,0.02285736,0.0,0.07291281,0.0,0.0,0.0,0.0,0.0,0.19600872,0.0,0.0,0.91172081,0.0,0.0,0.0,0.0,0.0,0.00262355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08827919,0.02388159,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,5.3830066,0.7071395500000001,0.64946368,0.82843704,4.5375457,1.86837541,0.62,8.107979030000001,9.17283721,6.03982106,2.94254396,7.07364815,1.98253318,1.82646124,5.0739685,2.8113514200000003,2.08359443,1.08256999,1.31050186,1.71508506,1.29478893,2.77081167,3.05955984,1.36554968,3.39787019,10.28059158,4.78849806,5.86972807,6.95395531,3.71382037,4.49604082,3.00004622,6.79744659,7.10810449,9.32703162,0.96218137,1.37420582,6.89399084,0.62,3.57132298,9.32109679,3.9623833,9.93444302,13.76035181,28.40226986,0.69650837,8.12869511,1.61234004,4.05741188,4.6620924200000005
