language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
English,4,33,7,1,1,5.6501530046632284e-11,0.8622600082131479,0.8622600082131479
English,22,12,4,1,1,5.6973969834327526e-11,0.9200047168541688,0.9200047168541688
English,12,33,7,1,1,5.765740973801081e-11,0.8686248531182155,0.8686248531182155
English,44,31,7,1,1,5.7887665064029236e-11,0.8497191262171795,0.8497191262171795
English,20,9,7,2,1,5.810273000290584e-11,0.7890818613031909,0.7890818613031909
English,4,11,7,1,1,6.40733227292558e-11,0.909750708374628,0.909750708374628
English,13,12,7,1,2,6.844061195294122e-11,0.878338197245742,0.878338197245742
English,13,30,5,1,1,6.986600163120772e-11,0.875202971696683,0.875202971696683
English,13,37,7,1,1,7.352656746865469e-11,0.8749424724766874,0.8749424724766874
English,25,28,7,2,2,7.643146179900601e-11,0.8715115061482593,0.8715115061482593
English,41,9,6,1,1,7.664804560187113e-11,0.7701145328772372,0.7701145328772372
English,31,42,7,1,1,7.80086624609312e-11,0.8253070660674934,0.8253070660674934
English,32,36,5,2,2,7.982006889651272e-11,0.8760689994033126,0.8760689994033126
English,25,48,6,2,2,8.391923174016364e-11,0.8504026788669099,0.8504026788669099
English,32,1,7,2,2,8.588045009075618e-11,0.8499382174451298,0.8499382174451298
English,6,44,5,1,1,8.763280351038532e-11,0.9044004207767056,0.9044004207767056
English,32,39,5,2,2,9.279276222804611e-11,0.8769528379700186,0.8769528379700186
English,33,49,7,2,2,9.526301569047769e-11,0.8639531775966165,0.8639531775966165
English,33,44,7,1,2,9.686841210945136e-11,0.8974648379285709,0.8974648379285709
English,3,47,7,1,1,1.0050659898563667e-10,0.757952795772193,0.757952795772193
English,32,45,7,2,2,1.0496270791585927e-10,0.7835762676471909,0.7835762676471909
English,43,37,7,1,1,1.0896103359751062e-10,0.9135524838945912,0.9135524838945912
English,3,10,4,1,1,1.1113253969268202e-10,0.832631123225292,0.832631123225292
English,33,27,7,1,1,1.1114718227858836e-10,0.8523614127754712,0.8523614127754712
English,25,16,6,2,2,1.1576721100046718e-10,0.8771319258063193,0.8771319258063193
English,25,41,7,2,2,1.1763798823832733e-10,0.8579546920628859,0.8579546920628859
English,13,26,7,1,1,1.1828503250999103e-10,0.8894528653372106,0.8894528653372106
