date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2026-01-01,0.78771364,0.34,0.6173655,0.61948243,2.55295363,0.34,0.34,1.39958324,3.00016551,2.64396628,0.54989893,2.16365581,0.34,0.48694968,0.51378926,1.15434664,0.6853621,0.53246029,1.02406499,0.38785045,0.39717303,0.34,0.50397909,1.50429176,0.49138431,2.18297805,0.52611333,1.38510031,0.9122133,1.76563979,0.37300803,2.81858085,2.28306447,1.30218219,2.12018969,0.49685871,1.00778288,2.17916548,0.34,1.08604659,1.34157812,1.75938406,3.03934218,3.25713069,5.06583446,0.3864834,3.2312307,2.45551,0.72460891,1.24353731
2026-01-02,1.4601727,1.57510765,1.39435835,1.1,2.16840349,1.1,1.1,2.55009603,3.82547304,1.61374036,1.21264729,3.92773109,1.26154244,1.18210962,1.60636945,1.75553389,1.70822688,1.99485147,1.96830107,1.27630863,2.03844949,1.30655509,1.23388749,1.66794492,2.8437906,2.40357472,1.38148688,1.47648994,2.3036678,1.68693739,1.1,2.17801133,1.4446028,1.1,2.8844591800000003,1.1,1.27189627,3.27787056,1.1,1.9726641,3.57051027,1.20576763,2.79366454,6.92190107,5.42336471,1.1,5.00193344,4.56310868,1.13397044,1.73251721
2026-01-03,1.9472873,0.94,1.88709926,1.08021196,2.09187391,1.16496969,0.94,2.03900597,3.99252612,5.60078894,0.94,1.29207012,1.0736018,1.42110659,1.34068384,0.94,1.65304557,1.47453353,1.34281257,1.46300087,1.67201041,1.16909543,1.08695294,2.50267332,2.46915234,2.5149663,1.65827237,1.79842998,1.34940411,2.02684564,1.19152241,1.55891003,1.28044473,2.25409766,2.4416146,1.78741362,1.05831589,3.20835904,0.94,1.99507349,2.83148698,2.34478247,2.2044622,3.3066357600000003,3.7841493,2.40270376,3.11675746,1.34462027,1.04156665,2.0346629
2026-01-04,0.93743777,0.6,1.20855277,0.6,0.83410678,0.6,0.6,2.14028218,2.1866470600000003,3.3333343,0.6,3.03097547,0.6,1.56872037,0.6,0.76419996,1.6291465,0.6,0.82196941,0.6,0.6,0.6,0.6,0.6,0.6,2.30335802,0.95016101,1.43398162,1.70106911,2.05081384,0.6,0.6,0.6,0.86852801,2.45368572,1.04232328,0.65572388,3.64167087,0.6,1.2583301,1.48007412,1.34257495,2.978965,3.25114007,5.51923806,1.59917651,2.94774778,1.13846747,1.06050894,2.06708909
2026-01-05,1.05945498,0.68,0.8319365000000001,1.38164099,0.7963899,0.7991006900000001,0.68,2.30456386,3.6146697,6.06197634,0.73595961,3.76596607,1.22351644,0.71749195,0.80687328,1.14598426,0.93990397,0.82050389,1.14876665,0.74953355,0.68,1.19625914,0.81156806,0.90835504,0.68,1.74966613,0.7767431300000001,1.99251074,2.4592183,0.8015624,1.26162428,1.02567359,1.09088145,1.27254734,2.43073044,0.74877072,1.16368289,3.23683948,0.68,1.655723,2.5623125300000003,1.3410265,3.87730655,5.20761158,6.17038848,0.68,3.041853,2.28778492,3.11272393,3.83240374
2026-01-06,1.62351845,0.32,0.32,0.32,1.23969564,0.32,0.32,0.63592949,1.65678986,3.2850415,1.51070001,1.51652671,0.32,1.86142218,0.73446279,0.59922955,1.46085348,0.61639676,1.62554969,2.29834977,0.63229003,0.38385039,0.37402582,0.52076213,1.40593503,3.35446704,0.67595697,0.80311288,1.5646493499999998,0.42321302,0.71862095,0.98548921,0.86521067,0.32,0.56510213,0.32,0.41437853,2.85755138,0.32,1.26335367,0.7301667700000001,0.32,1.18484741,2.95917203,3.95148345,0.32,4.01557645,2.0180432500000003,0.80927667,1.33899889
2026-01-07,1.50864834,0.97403192,0.66731854,0.6,1.31750298,0.7805297,0.6,1.40805408,2.18544111,1.52381329,1.09607598,5.25934366,0.94858603,0.95044874,1.06461077,1.49157127,1.26175437,0.98738099,1.23222053,0.95531976,0.94800748,0.72787756,1.24910585,0.6,2.03691011,2.57437017,1.09241102,1.91337457,1.23850134,0.8919670199999999,1.07157764,1.70834137,0.9586998,1.14803312,1.37152699,0.66221312,0.89761667,1.90673247,0.6,1.13019152,2.23246864,1.05477901,1.9452963,4.2421311600000005,6.88070522,0.6,6.01987912,0.83810078,1.07171804,1.57481192
2026-01-08,1.19754985,1.27631404,1.00275647,0.94,1.08561716,0.94,0.94,1.81327113,1.92230121,1.02055065,1.14847947,2.75044852,1.60440265,0.99572873,1.07550008,0.99711796,1.21614239,1.06263518,1.14526378,0.98051959,0.97977032,0.94,0.94,0.94,1.21426991,1.37032501,0.94,1.95189442,1.92998188,1.47082012,1.42632718,0.94,1.08643157,1.4384708,1.54109802,0.94,1.39403356,2.65268723,0.94,1.20756058,1.75331852,0.94,3.27252052,3.08217984,3.50814384,0.94,2.28472308,1.72203335,1.40742737,1.73138394
2026-01-09,0.99464919,0.3,0.3,0.3,1.07790306,0.3,0.51731746,1.31551663,2.66708584,1.24737811,0.62074613,2.74555172,2.42778125,0.91555725,0.54314779,0.49007151,0.62370888,0.48569678,0.94888096,0.5157625100000001,0.3,0.58633634,0.3,0.3,0.5482803,0.52352151,0.74345094,2.1592723,1.15044652,1.04823188,0.35929648,0.49760945,0.99763993,0.6057745999999999,1.21581148,0.37261397,0.33603004,2.51667965,0.3,0.8873096899999999,1.66165216,0.49297736,2.05199487,2.23686861,5.04843966,0.9524093,2.39700767,0.37766305,0.66742006,1.02850713
2026-01-10,2.3540362,0.94,1.27241952,0.94,0.94,0.94,0.94,1.53735112,4.33998492,2.30670541,2.24045316,3.77175035,1.06670229,2.4649158300000003,1.20313573,0.94,1.14755081,0.94,0.94,1.34272268,1.16475594,1.47631944,1.39379672,0.94,1.47168774,2.31149828,1.52215739,2.27064687,1.0569479,1.51791802,2.22125132,0.94,1.06116881,3.20096321,1.67508836,0.94,0.94,3.48342653,0.94,1.61222188,1.98850642,2.20481767,1.80560576,3.10758352,5.04621317,0.94,2.41642518,1.02883989,0.94,1.81443197
2026-01-11,1.95368587,1.14,1.14,1.14,1.80692151,1.14,1.14,1.5088694,5.18928493,2.10344087,1.14,3.38757454,1.24039131,1.16644057,1.99525089,1.35908475,1.70912457,1.18052369,1.46267342,2.32138555,1.38733264,1.45523275,1.40672833,1.14,1.6446396600000002,2.41735011,1.4354652,1.7147971,2.40536643,1.37261587,1.22629954,1.14,1.14,1.26191073,1.59392331,1.14,1.14,1.86380913,1.14,1.84822378,1.81049315,1.14,2.01567787,3.13766083,3.96513934,1.14,2.5317911,1.42867353,1.23625438,3.49596338
2026-01-12,2.05903118,0.63481803,0.50864803,0.46,1.13728277,0.46,0.46,1.81475379,3.75255093,1.09698119,0.47799834,3.67094551,1.41898494,2.32727554,1.96964713,1.50057135,0.46,0.6439262,0.72722174,1.13979677,0.74397291,0.46,1.72038606,0.9667829,0.79234657,2.2989296,0.62495154,1.55338846,0.67987636,0.65260445,0.66755851,0.46,0.86315367,1.06406999,2.05244236,0.52400693,0.64444628,4.81132196,0.46,1.28677766,2.61531085,0.80632747,1.24727961,2.75342301,3.83855102,0.66981058,1.6831633,0.60531271,0.8625380500000001,0.87083373
2026-01-13,1.53867299,0.58,0.7036392,0.58,0.7579224600000001,0.72908602,0.58,1.60006446,4.27733971,5.35701984,0.8033623,3.299252,0.83461962,1.22495975,0.72654284,1.9619631,2.41497319,0.74228665,1.1260992,2.7686949,0.71599131,0.58,1.65154918,1.03425659,0.88998935,1.45920283,0.66137895,1.00562461,0.93415299,0.82424252,1.6343268,0.82915684,0.98369087,1.05821137,2.55145784,0.6478991000000001,1.12144096,2.10146258,0.58,3.03364053,2.42814198,1.0375174,1.16649634,4.53493229,3.98631713,0.58,5.61480029,0.828974,1.86388686,1.05476023
2026-01-14,3.03204046,1.26,1.92483904,1.26,1.35864142,1.26,1.26,2.27470431,2.96185834,3.81699816,1.31296585,3.79063988,1.59872215,1.77616489,1.76266137,1.26,2.59277079,1.56470493,1.41257132,1.67005556,1.26,1.26,1.34367413,1.26,1.26,2.04304692,1.26,2.59934945,2.30156623,1.30568125,1.89703319,1.26,1.51810002,1.43588666,2.3559948200000003,1.26,1.36029426,2.73339736,1.26,1.6780845,2.5522707,1.40879064,3.60150366,3.81540637,6.79423071,1.26,5.5499332,1.26,1.66705697,2.28836045
2026-01-15,2.07554423,0.46,0.46,0.46,0.56594581,0.46,0.46,1.21144248,2.57322169,2.71814393,1.40022134,0.76729697,0.46,0.46,0.46,0.46,0.46,0.46,0.46,1.97769944,0.84955915,0.46,0.65108923,0.46,0.46,3.84691551,0.46,1.09284692,1.1552610600000002,0.78396175,0.9651236,1.49391182,1.31949128,1.00326904,2.46816452,0.54101469,0.95681524,1.31888935,0.46,1.01302756,1.60867501,1.34451875,1.42069747,2.96695455,4.52518834,0.46,5.13758885,0.54664789,0.6885380600000001,1.73233449
2026-01-16,1.25056011,0.62,0.71162087,0.7690225900000001,0.62,0.62,0.62,1.63477871,0.96535269,1.82961646,0.79029355,3.88075956,0.62,0.62,0.94898612,0.77157324,0.70906549,0.65826862,0.67559951,0.62,1.09639091,0.62,0.62,0.62,1.6752232,2.05061469,0.62,0.85592519,0.90404923,1.26880341,0.62,1.39814515,1.04752547,0.68941469,1.64589743,0.88631079,0.7664008,1.03340924,0.88840537,0.87194036,1.09224993,0.62,1.85389821,2.2900943,1.74489639,0.62,2.21381648,0.62,0.74567575,1.08541552
2026-01-17,1.51444964,0.86,1.12931836,0.86,1.36103385,0.86,0.98285531,1.14344593,1.38718798,0.91821487,1.27241683,4.7882945900000005,0.86,2.10884567,1.59576362,1.86,1.09286593,1.0840692,1.34471136,1.08320016,1.40744222,1.3382028,0.86,0.96914688,0.98016077,2.2902589,0.99151764,1.04108828,1.60548321,1.28010911,1.01812237,2.26076977,0.92294569,0.86,1.14119004,0.93937687,1.14440428,0.97357058,0.86,1.17818949,1.45898178,0.90475923,2.39184687,2.45514134,3.93018949,0.86,4.22214129,1.88727573,0.98456738,1.73644475
2026-01-18,1.88278046,0.76,1.05731367,0.76,0.8836526100000001,0.93680947,0.76,1.25247121,2.90732998,1.62410712,1.74397179,3.99154953,1.22662081,1.06492471,1.34695864,0.76,1.44656657,0.76,1.39450714,0.96764933,0.76,0.85720986,1.53903284,0.93411516,1.36197044,1.46633959,0.76,1.07388758,3.3465761300000003,0.88778809,0.97950603,0.76,0.86959097,1.26413817,1.36602523,0.84158017,1.09627716,1.66643852,0.76,1.16869079,1.66189754,1.8046972,2.51361565,3.19012967,3.24535572,0.76,4.7698589,0.84725269,1.74902045,2.17179237
2026-01-19,0.7960354,0.52,0.82792328,0.52,0.52,0.52,0.52,0.98264183,0.86041551,0.81870365,0.52,1.72010598,1.51185771,0.89142066,0.62266178,0.52,0.66991511,0.63369123,0.68517913,0.68031531,0.83984795,1.55731044,0.68538622,0.77932385,0.52,0.66598506,0.52,0.91741075,2.0604855,0.59369074,0.52,0.52,0.52,0.98735205,2.01850022,0.52,0.62867287,0.83746826,0.52,0.52,1.26454323,0.52,1.35697063,1.43215983,1.61264718,0.52,1.26647587,0.65296001,1.58315345,0.71878931
2026-01-20,1.2542798,0.42,1.4200000000000002,0.42,0.90959214,0.42,0.42,0.75255834,0.61579273,0.7520855,0.42,0.86209028,0.62727019,1.07214066,0.46535227,1.53583271,0.42,0.7804793600000001,0.42,0.67694098,0.51637453,0.57048283,0.42,0.4811501,0.56118639,0.63360924,0.52246134,0.85411354,0.46848564,0.9640515,0.66245581,1.28127419,0.42,0.6913154,0.42,0.42,0.87718466,0.81325216,0.42,0.96563825,0.99403223,0.42,1.5202424,0.84859715,1.84412182,0.42,1.66916733,0.42,0.6870758,1.54931274
2026-01-21,0.53182078,0.36,0.97651383,0.36,0.36,0.36,0.36,0.85002515,2.61177105,0.58022281,0.44835264,0.96726173,0.96875616,0.74817131,1.03589783,1.10928425,0.78791028,0.59913783,0.66212689,0.74719749,0.75336466,0.50945745,0.61965567,0.6835482199999999,0.44087436,1.85144302,0.8624507,1.19521372,1.35621585,0.73882415,0.36,1.36,0.95709654,1.39411626,0.96301515,0.36,0.78602914,2.74790525,0.36,0.66532,0.97422828,0.36,0.8711496799999999,1.7621009399999998,2.3574208,0.36,4.1475092,0.36,0.82482615,0.5937848
2026-01-22,1.35803418,0.38,0.38,0.38,0.7507830799999999,0.68172878,0.38,0.83950322,2.27271715,1.41798012,0.54189348,1.59415194,0.74159602,1.02132941,1.6551567699999998,1.41557326,0.48499064,0.38,0.38,0.38,0.38,0.60861597,0.38,0.38,1.33146596,0.82542126,0.65109202,0.75017827,0.90357586,0.68045118,0.8154804,0.38,0.65718224,0.67768341,0.9806489,0.38,0.38,1.07162653,0.38,0.39749763,0.46654781,0.38,0.73679874,1.88602715,0.8057322100000001,0.38,1.25874189,0.38,1.72469476,0.53509975
