,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V1_11,V1_12,V1_13,V1_14,V1_15,V1_16,V1_17,V1_18,V1_19,V1_20,V1_21,V1_22,V1_23,V1_24,V1_25,V1_26,V1_27,V1_28,V1_29,V1_30,V1_31,V1_32,V1_33,V1_34,V1_35,V1_36,V1_37,V1_38,V1_39,V1_40,V1_41,V1_42,V1_43,V1_44,V1_45,V1_46,V1_47,V1_48,V1_49,V1_50
V1_11,0.0008911948366067454,0.0008911948366067454,0.0008633890186615643,0.0025625685049415394,0.0025625685049415394,0.0014083236493595333,0.0014083236493595333,0.0009325611669479918,0.0009794617251876578,0.0009708274461900251,0.20466763857103248,0.014841564693718754,0.00027649463751929887,0.0010616688692796628,0.000498500999771237,0.0022483939322594103,0.002998326565598833,0.0006105538004650441,0.0006105538004650441,0.0041639076497078965,0.0008282902945207604,0.0014002912070939248,0.0016296458978271437,0.0016525862571402216,0.001958489659467077,0.001958489659467077,0.05226397426425684,0.0009490398525126757,0.0011667456512904856,0.02063338909080577,0.0010710451539417754,0.0009425297622588382,0.0003428411323703772,0.0001780106237808859,0.0015275598441295772,0.00032763437671343414,0.0007810139512598661,0.0006241805997234648,0.0006492948589999698,0.00055620127080704,7.857089319666069e-05,0.0010933610706163196,0.0003571874140361393,0.000887979638451585,0.00042119042668326576,0.0008610647416726842,0.0004824105034226484,0.0011232056610170722,0.0016780093039518039,0.0
V1_12,0.0013930591907192725,0.0013930591907192725,0.0012631079729263832,0.0002787447897845829,0.0002787447897845829,0.0016397009569893996,0.0016397009569893996,0.001161873235111852,0.014484374046141427,0.0050371720131528516,0.009214473930970926,0.229648992591477,0.0006910519076158857,0.006477536443554127,0.009873101396922466,0.008939584798541785,0.010828285812430269,0.0013157739316526189,0.0013157739316526189,0.004000374660286266,0.004107566534561319,0.007577397768343925,0.0036189426670792265,0.0021970766641919077,0.0018668769325809963,0.0018668769325809963,0.01313412485375046,0.001313928833842171,0.002875826140521507,0.001480170517634044,0.008159555425810929,0.0025717437461199857,0.0021925852100029616,0.0015724818676894551,0.005859613610570899,0.017786857474354417,0.0045816063925933105,0.0351537520077509,0.004712917614542275,0.008941548043776006,0.004962339627755496,0.0012336677067703405,0.01215474380402949,0.014811914802727677,0.0058562303608876085,0.008415158120563837,0.00392115352098881,0.007102507864710783,0.006567918860940272,0.0
V1_13,0.014649153211001936,0.014649153211001936,0.03482704486888003,0.013995491059526884,0.013995491059526884,0.0442558016255682,0.0442558016255682,0.021414887064784865,0.004188327021284767,0.0047434688278277575,0.00784335713056671,0.006970474820705297,0.06576269563866516,0.061180974638289,0.005765883622841251,0.013552134494099102,0.028196828826528318,0.031128903934962423,0.031128903934962423,0.00620130366452851,0.002232169949986486,0.0041604485121721005,0.004213615930492348,0.0020899059777517875,0.0031552164234096174,0.0031552164234096174,0.005699701867085914,0.025792788915861602,0.013231847158107393,0.01465696844084505,0.008379526862791323,0.08173714520123751,0.11648747196870265,0.13085604049643162,0.0341506015638697,0.041067103448747685,0.004695442193176344,0.0022749162779250875,0.004318782029801314,0.0018035704460646832,0.002800058016044807,0.0021029232719892363,0.004488764904379383,0.010219664869129553,0.014791996815187874,0.010240376712907411,0.002901188149532646,0.004900686495266406,0.008125301371623879,0.0
V1_14,0.05368568032018659,0.05368568032018659,0.005667312994102597,0.015331360786892007,0.015331360786892007,0.03226576982666235,0.03226576982666235,0.013993586778653595,0.008150923846137801,0.05386602603347016,0.039806895167992774,0.05609839622063687,0.021640710240031193,0.2490941552660984,0.047467872011145454,0.22347527930180508,0.03460637985199688,0.01227657591984614,0.01227657591984614,0.01711660797183452,0.01691191137609996,0.028590642188543146,0.008483481553128924,0.011043141895121268,0.008581704939231754,0.008581704939231754,0.029427074346964458,0.004711857745765909,0.019881127391300022,0.013952517545007335,0.004383251427736774,0.002936925378400199,0.002256231333260353,0.003915035716313314,0.003670984976393174,0.0016394239476680665,0.003480830673630743,0.005429361630201679,0.0019243307266337637,0.002055633496285134,0.000701885818619735,0.0022263840179480234,0.006444539644123369,0.0064312330386821406,0.004984658952834667,0.0046372583928862175,0.007624216370859298,0.003833304919249928,0.016508975870317445,0.0
V1_15,0.004931284591234101,0.004931284591234101,0.005091237682124077,0.0002836666704420281,0.0002836666704420281,0.0005071848102504848,0.0005071848102504848,0.00020844058145195684,0.0015531870779822597,0.001288166809175052,0.0006653934789642114,0.0017580681913472128,0.0009299404180613789,0.00423093982692347,0.15885569045498465,0.0024498549666782158,0.0009792525308170302,0.0005185058287703154,0.0005185058287703154,0.0005541603599707023,0.001116283618363125,0.0006465650142536759,0.0007594986172752647,0.00047097166596763004,0.0005385458977962591,0.0005385458977962591,0.0015408100100201426,0.0004343182117594186,0.0011385515759182938,0.0007366528569981419,0.0007871020355083158,0.00030992537147472003,0.0005161267810169734,0.0005129972870997197,0.0005516607192769375,0.00044060903204820443,0.0004659749363837581,0.0007193282248089626,0.0007288321689078686,0.0007257132430327824,0.0002442461279844134,0.00012474466767259786,0.002185820042933494,0.0005478061869649426,0.0018475715101056377,0.0007102679944946661,0.04036978376699212,0.000985826517521715,0.0010711310223065914,0.0
V1_16,0.005917574923613976,0.005917574923613976,0.003227551003017495,0.0014212115611113324,0.0014212115611113324,0.006837220609631207,0.006837220609631207,0.0071969695530238135,0.012868486157888662,0.01305829440628305,0.008161313190822974,0.017479181335082198,0.0013479323396113436,0.01600878448091024,0.00961546663010127,0.13138409280357782,0.010579623623526026,0.0023053924420877166,0.0023053924420877166,0.01071728240421851,0.01643486949831372,0.03225687905406128,0.01979500032263668,0.038339698775910015,0.018131895909385198,0.018131895909385198,0.027307822315331513,0.0008210408150298145,0.009951850100151712,0.016419520432485388,0.00685895059427959,0.008755023445718858,0.0016295008904836242,0.0019916091432806487,0.005263443606540548,0.010645585380661692,0.0036765124312831783,0.002831349007973642,0.0029200726316436225,0.0015457319165103221,0.0005285416961657838,0.0008542339214764687,0.002744692586164917,0.003578872573034079,0.0022389137913279475,0.0010368909259816442,0.0033331280308109825,0.002243598085282849,0.005269954968651089,0.0
V1_17,0.0011611266164271378,0.0011611266164271378,0.0014460101810854528,0.0012205562878058597,0.0012205562878058597,0.0071184076458147404,0.0071184076458147404,0.00663128436129764,0.004490974769438366,0.001079778692697159,0.005825285542075628,0.0015369790405358223,0.001630613291147407,0.004433428928632786,0.004915652152133374,0.005418446212778177,0.14979420844490238,0.010762725114763495,0.010762725114763495,0.007383855371701558,0.011527920232395503,0.018968631884985494,0.00536812568496606,0.009377159264107758,0.0034405874689728932,0.0034405874689728932,0.0058739046231790415,0.0016977241008847709,0.003427768188089537,0.09703999331647227,0.001060359052225295,0.00076371197355302,0.00059895969244396,0.0005421390739427124,0.0012563394524232083,0.000278738536172862,0.0018946402525990425,0.00046985116917903046,0.001849859381473481,0.000537901740381899,0.00014498021195189097,0.0012238068519158391,0.0012734295800823617,0.001141813082797208,0.0014226601624276645,0.0009273877295189806,0.0014546420379455026,0.0010701483421822853,0.0017191335926407794,0.0
V1_18,0.0003873064630697433,0.0003873064630697433,0.0005110171877449879,0.006180743063644465,0.006180743063644465,0.003959820297929036,0.003959820297929036,0.007219357522506897,0.0011772523751559256,0.0008018964866720601,0.0019164779809322339,0.005787091808171624,0.0009461717877533226,0.004546981690557119,0.001037362602540816,0.005437370789374499,0.010622656028179404,0.14202595974495943,0.14202595974495943,0.10764217252202526,0.013066690088599075,0.0769857407507628,0.05185457181777552,0.0326070977987313,0.030208816356312222,0.030208816356312222,0.022909992003647035,0.0018453983715544105,0.006322909560022716,0.026445190173775668,0.0008204098263747834,0.0008502175547122287,0.0007316612245189024,0.0007286270806720945,0.0010397403033459533,0.00024333793801792805,0.0003134305633330025,0.0014638385772529064,0.0007675258298903197,0.0003244330959883065,0.00010538600032940715,0.00033294086233848636,0.0007046351695263048,0.00047917026061272363,0.00039576608501799035,0.00020377479769059597,0.0005392424274044728,0.0004385196105798254,0.0007125016849227282,0.0
V1_19,0.0003873064630697433,0.0003873064630697433,0.0005110171877449879,0.006180743063644465,0.006180743063644465,0.003959820297929036,0.003959820297929036,0.007219357522506897,0.0011772523751559256,0.0008018964866720601,0.0019164779809322339,0.005787091808171624,0.0009461717877533226,0.004546981690557119,0.001037362602540816,0.005437370789374499,0.010622656028179404,0.14202595974495943,0.14202595974495943,0.10764217252202526,0.013066690088599075,0.0769857407507628,0.05185457181777552,0.0326070977987313,0.030208816356312222,0.030208816356312222,0.022909992003647035,0.0018453983715544105,0.006322909560022716,0.026445190173775668,0.0008204098263747834,0.0008502175547122287,0.0007316612245189024,0.0007286270806720945,0.0010397403033459533,0.00024333793801792805,0.0003134305633330025,0.0014638385772529064,0.0007675258298903197,0.0003244330959883065,0.00010538600032940715,0.00033294086233848636,0.0007046351695263048,0.00047917026061272363,0.00039576608501799035,0.00020377479769059597,0.0005392424274044728,0.0004385196105798254,0.0007125016849227282,0.0
V1_20,0.0023626182366503303,0.0023626182366503303,0.0022177355468561257,0.007022798688204519,0.007022798688204519,0.016502572438567033,0.016502572438567033,0.01050205255812898,0.007018739337326485,0.003923428127342116,0.013509545124259899,0.006922049279599456,0.0017261489666226622,0.006283214648241512,0.004112659533502183,0.0136870465679891,0.015511179386271497,0.012962154953345066,0.012962154953345066,0.11663581934494188,0.015129928713615291,0.03865650874149353,0.0621676067456224,0.04375078337965613,0.04122176546511597,0.04122176546511597,0.030031933836395693,0.003315985989846712,0.010420528363238413,0.042854660937538314,0.003067514442636778,0.002779389728413775,0.0059296603441610155,0.0021130665931961327,0.005320773115987385,0.0027544514077434976,0.002568458042590701,0.0019009974451432198,0.00365121856622945,0.0017235348165755035,0.0004183906555681386,0.0011770501528165227,0.004591279064586056,0.006001605954538223,0.0038411894720890988,0.0011656954545286326,0.001257209663050555,0.00214535283002222,0.003823055052340305,0.0
