language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Arabic,1,39,2,0,2,0.0026587171134214325,0.3220623774794991,0.3220623774794991
Arabic,10,46,2,1,1,0.00269918443519004,0.2757695134842708,0.2757695134842708
Arabic,47,20,1,0,1,0.002752596119326847,0.31935781027084237,0.31935781027084237
Arabic,33,40,3,1,3,0.0028586710052348877,0.45510305450000715,0.45510305450000715
Arabic,34,31,4,1,3,0.002892642293979798,0.4756318406905999,0.4756318406905999
Arabic,20,3,4,1,2,0.0030191921290555436,0.4188256120767075,0.4188256120767075
Arabic,36,30,3,0,3,0.0030863708108563323,0.34869579595607936,0.34869579595607936
Arabic,21,26,3,0,3,0.003162945531070053,0.34372402097515914,0.34372402097515914
Arabic,15,42,2,0,2,0.003164003976157541,0.3173781878121615,0.3173781878121615
Arabic,33,31,3,1,7,0.0031825794303429406,0.42406318534101206,0.42406318534101206
Arabic,44,23,2,1,5,0.003196712091297964,0.5625967217061213,0.5625967217061213
Arabic,21,1,3,0,3,0.003443592184572215,0.2227999766411233,0.2227999766411233
Arabic,14,30,2,0,2,0.003588385977301174,0.4138859150712498,0.4138859150712498
Arabic,41,1,2,0,2,0.003650494423325228,0.3130432660602057,0.3130432660602057
Arabic,45,3,4,1,2,0.003653427666279551,0.40795220208052685,0.40795220208052685
Arabic,50,1,1,0,3,0.003812120376993784,0.2930111913909949,0.2930111913909949
Arabic,10,38,3,1,2,0.003862906487312636,0.37474254728791906,0.37474254728791906
Arabic,23,48,2,1,2,0.00391137708803574,0.5848071061793872,0.5848071061793872
Arabic,50,3,4,1,1,0.004125903762314944,0.39791410864510907,0.39791410864510907
Arabic,10,24,4,1,4,0.004186156480175478,0.47081738009095386,0.47081738009095386
Arabic,38,48,2,1,1,0.004201726027229487,0.5107844463740878,0.5107844463740878
Arabic,29,46,7,1,4,0.004261803017987716,0.3467624183098569,0.3467624183098569
Arabic,38,20,4,1,1,0.004391410751386168,0.28875290686319083,0.28875290686319083
Arabic,19,21,1,0,1,0.0044899966208751954,0.31233481161489146,0.31233481161489146
Arabic,14,29,3,1,3,0.004521534490412644,0.46361644804819085,0.46361644804819085
Arabic,28,10,4,1,3,0.00452574414541348,0.5606176792561708,0.5606176792561708
Arabic,50,11,1,1,1,0.0050949685730633425,0.34518177213415435,0.34518177213415435
Arabic,30,1,2,0,1,0.005174018578575548,0.2969951597453702,0.2969951597453702
Arabic,22,47,3,1,3,0.005180764268001142,0.37622508826221346,0.37622508826221346
Arabic,45,1,2,0,2,0.0052344514597422965,0.2947873306475303,0.2947873306475303
Arabic,42,14,2,0,1,0.005263596271319156,0.40704881360513884,0.40704881360513884
Arabic,11,14,4,1,4,0.00536951322052002,0.45226835572720947,0.45226835572720947
Arabic,10,33,5,1,5,0.005610329439556319,0.5763863457171404,0.5763863457171404
Arabic,26,42,1,0,1,0.005691406617796952,0.31561601668051614,0.31561601668051614
Arabic,39,36,1,0,1,0.005842265977522336,0.2788524945118729,0.2788524945118729
Arabic,3,11,5,1,1,0.0058517253181536635,0.43499057088990617,0.43499057088990617
Arabic,6,9,1,0,1,0.006020061368588154,0.37966065383878733,0.37966065383878733
Arabic,34,23,2,1,6,0.00624558838195267,0.7163194247872743,0.7163194247872743
Arabic,38,39,1,1,1,0.006319366098856201,0.3477431021388369,0.3477431021388369
Arabic,33,48,4,1,4,0.006322635862239032,0.5089992281014264,0.5089992281014264
Arabic,41,27,2,0,2,0.006375013899708925,0.3449360843780686,0.3449360843780686
Arabic,50,36,1,0,1,0.006400647354597613,0.28230687539177723,0.28230687539177723
Arabic,34,6,4,1,4,0.006657508921385996,0.3053006924836124,0.3053006924836124
Arabic,32,36,2,1,2,0.007027165793677883,0.30536667327591555,0.30536667327591555
Arabic,47,1,2,0,1,0.007320935990375201,0.3014565284906534,0.3014565284906534
Arabic,38,50,1,1,1,0.007773818542585796,0.44196099993890414,0.44196099993890414
Arabic,26,43,1,0,1,0.007835563564291874,0.25627737239386855,0.25627737239386855
Arabic,27,3,1,1,5,0.007879591723186953,0.3675474661182654,0.3675474661182654
Arabic,29,48,7,1,3,0.007981295231814737,0.42654687487391224,0.42654687487391224
Arabic,3,28,4,1,3,0.008091165782256955,0.4681633490555924,0.4681633490555924
Arabic,7,42,1,0,1,0.008212956162776478,0.2823224678154593,0.2823224678154593
Arabic,48,37,5,1,1,0.008378458764981195,0.43588210820569573,0.43588210820569573
Arabic,47,46,1,0,1,0.008525887714543316,0.2544722611931817,0.2544722611931817
Arabic,12,39,1,0,5,0.008545083689980573,0.32595405028678276,0.32595405028678276
Arabic,34,38,4,1,2,0.008605400733486587,0.595660015974834,0.595660015974834
Arabic,49,34,5,1,1,0.008683687459838293,0.39656854395066954,0.39656854395066954
Arabic,44,37,3,1,3,0.008694425097295531,0.4663498083350072,0.4663498083350072
Arabic,31,11,3,1,3,0.008732846465787245,0.37681728460987446,0.37681728460987446
Arabic,40,11,1,1,1,0.009007444211486982,0.3478592941051369,0.3478592941051369
Arabic,38,46,1,1,1,0.009059059121449272,0.28798341642376396,0.28798341642376396
Arabic,48,11,7,1,2,0.009283702355356143,0.3761053882671116,0.3761053882671116
Arabic,22,38,4,1,6,0.009622948554229863,0.35293255666066026,0.35293255666066026
Arabic,42,31,1,0,1,0.00963691331745,0.32659690996477864,0.32659690996477864
