language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Persian,14,20,5,0,3,0.0037081781012614236,0.33295740920253497,0.33295740920253497
Persian,4,28,6,0,6,0.0037705201786725107,0.26220590704897145,0.26220590704897145
Persian,37,9,3,0,3,0.004069847359892116,0.2477599138035842,0.2477599138035842
Persian,45,37,1,0,1,0.004109100606273223,0.2710469332999713,0.2710469332999713
Persian,40,42,1,0,1,0.004113991794283909,0.33028562167225173,0.33028562167225173
Persian,32,25,1,0,1,0.004125522082000825,0.25661481502397243,0.25661481502397243
Persian,44,40,1,0,1,0.0042717595212815535,0.39010065427845425,0.39010065427845425
Persian,11,14,4,0,4,0.004345697650754269,0.37045443436476727,0.37045443436476727
Persian,43,31,6,0,6,0.004511385392128364,0.2710806007609549,0.2710806007609549
Persian,37,3,6,0,5,0.004705868754385693,0.19099266773707232,0.19099266773707232
Persian,39,40,4,0,3,0.004770681723488318,0.4099413588288266,0.4099413588288266
Persian,17,20,2,0,2,0.004785767260031624,0.31849089732772184,0.31849089732772184
Persian,4,32,7,0,3,0.004814868524976745,0.22762648832465918,0.22762648832465918
Persian,4,9,6,0,7,0.004894403820445929,0.3142793457749298,0.3142793457749298
Persian,30,26,5,1,4,0.005027943434560418,0.2127520203140087,0.2127520203140087
Persian,13,14,1,0,1,0.0050284518797703796,0.28009104668552737,0.28009104668552737
Persian,36,49,3,1,2,0.005056785206057946,0.3416619744856538,0.3416619744856538
Persian,19,41,1,0,1,0.0050593280196675385,0.26813901004411816,0.26813901004411816
Persian,39,15,4,0,3,0.005145280025353563,0.34969014420588473,0.34969014420588473
Persian,5,36,3,0,3,0.005255856122029478,0.4130386785588809,0.4130386785588809
Persian,40,1,1,0,7,0.005572269718979375,0.33096081948404915,0.33096081948404915
Persian,5,8,3,0,3,0.005619199296643127,0.3610569050540454,0.3610569050540454
Persian,4,25,6,0,6,0.005755717808686505,0.236797923280919,0.236797923280919
Persian,47,12,1,0,1,0.005799758236919405,0.2982020365916486,0.2982020365916486
Persian,39,6,3,1,3,0.0059023951818598114,0.3855570862184294,0.3855570862184294
Persian,6,45,5,1,2,0.005921154774778399,0.2733185907254781,0.2733185907254781
Persian,39,48,3,0,3,0.0060412129523589935,0.401455557727736,0.401455557727736
Persian,48,41,1,0,1,0.0061034074807603915,0.2713478401002525,0.2713478401002525
Persian,43,6,5,1,3,0.006238454948449857,0.4537429787621483,0.4537429787621483
Persian,2,6,6,1,5,0.006419708230416702,0.41629025241462514,0.41629025241462514
Persian,44,5,4,0,3,0.006537666641484784,0.297540314381062,0.297540314381062
Persian,8,42,3,0,3,0.006615929540425684,0.2993502679385047,0.2993502679385047
Persian,6,49,5,1,2,0.006674417980728432,0.3495394936631165,0.3495394936631165
Persian,18,48,3,0,3,0.006699773246551779,0.3751817457139573,0.3751817457139573
Persian,40,45,1,0,1,0.006709420920920251,0.3146261531850197,0.3146261531850197
