language,V1,V_total,H_neg_hostility,V_share,H_share
chinese,1,310.41028950000003,54.20915223537,0.01780181737265922,0.016821416887685462
chinese,2,396.77463179999995,45.37626041515,0.02275475321641264,0.014080518911885687
chinese,3,207.36183029,25.86864841186,0.011892058858064802,0.008027192850526403
chinese,4,73.80973956,8.201003030099999,0.004232937980526126,0.0025448191897100634
chinese,5,439.04443533999995,79.25049888310001,0.025178897481118994,0.024591893163749958
chinese,6,110.77604199,15.1276118982,0.006352930091165708,0.004694186419847747
chinese,7,110.066083,16.71757103279,0.006312214429637815,0.005187560035454142
chinese,8,299.28387008000004,53.054129499910005,0.017163724844072314,0.016463006579707052
chinese,9,629.28182749,104.82648628698,0.03608888154756295,0.0325282715923753
chinese,10,505.92930068,87.56072080407,0.029014698670878154,0.027170603613875934
chinese,11,194.07979333,23.82454483343,0.011130343140845222,0.007392895558713277
chinese,12,781.7600995299999,154.04883992582,0.044833405952752585,0.0478022557188374
chinese,13,180.53863186999996,28.44141399543,0.010353766811133664,0.008825537053505526
chinese,14,223.42779746,39.70986551765999,0.012813431064946748,0.012322203445023588
chinese,15,183.53441589000002,31.90350688868,0.010525572971612027,0.009899844720380514
chinese,16,182.39054853000002,24.967470256429998,0.010459972962430418,0.0077475519999050104
chinese,17,253.20958523,40.39404104274,0.014521396183521967,0.012534507110680486
chinese,18,85.49982940000001,16.53958409537,0.004903356621405811,0.005132329648122043
chinese,19,152.84658818999998,24.6371606984,0.008765647083977965,0.0076450550128006
chinese,20,262.55450084,33.05647563337,0.01505732068950434,0.010257617663013759
chinese,21,219.45867624000002,24.86234176668,0.01258580468309517,0.007714930014872313
chinese,22,157.42484868000003,28.61314347364,0.009028207185509143,0.008878825714658768
chinese,23,295.16116587,68.80873598707001,0.01692729058299762,0.021351753086409242
chinese,24,137.06792672999998,21.64028562075,0.007860751662668369,0.006715107154133053
chinese,25,399.74513003,89.22885911405,0.022925109254163342,0.027688236684702376
chinese,26,812.3127440699999,176.85216381124002,0.04658557917880427,0.05487826044652778
chinese,27,236.26402448,41.69607155431999,0.013549579887629488,0.012938534791111227
chinese,28,622.6168094,132.89746308706,0.03570664732776706,0.0412388598182985
chinese,29,484.33489798,85.66202388737001,0.02777627447509434,0.026581426859358562
chinese,30,218.92882462,37.18598764959,0.012555418055805716,0.011539029385999893
chinese,31,233.79551894,31.244172589039994,0.013408012786625005,0.009695249432218856
chinese,32,342.48058398,54.894788085429994,0.0196410267826951,0.01703417370072185
chinese,33,556.79115565,87.33058734686999,0.03193159119679624,0.02709919185656681
chinese,34,546.49194251,120.76608240879999,0.03134093838146689,0.03747442146430639
chinese,35,445.08994106000006,85.69057912228,0.025525603091059185,0.026590287715707338
chinese,36,89.46074067,15.54269882258,0.005130512168251327,0.004822990319405271
chinese,37,250.64702702999998,33.539905636060006,0.014374435226922586,0.0104076288193579
chinese,38,450.64943752,99.45558318715999,0.025844436403009898,0.030861648958006076
chinese,39,30.930204169999996,3.34968866065,0.0017738260120832836,0.001039427976296258
chinese,40,345.43774286,62.78234700579,0.01981061781786501,0.01948172935054048
chinese,41,522.5350206400001,95.4258599994,0.029967025330363595,0.029611202291934525
chinese,42,254.57365261,37.28290231316,0.01459962451294325,0.011569102572744494
chinese,43,594.44289611,90.65805027686,0.034090892708712406,0.028131723058690286
chinese,44,853.5049755299999,180.49579903967,0.04894792542320358,0.05600890176144742
chinese,45,1064.53754839,255.01994670016,0.06105049885202712,0.0791341805068802
chinese,46,73.06577123000001,10.19953497793,0.004190271906656491,0.003164975338100659
chinese,47,640.6298417099999,152.35164489672,0.03673968238606666,0.04727560617817974
chinese,48,197.28348458,30.485154672550003,0.011314072638481242,0.009459721734920356
chinese,49,253.16387867,48.12036904528,0.014518774943629556,0.014932031864017674
chinese,50,525.59374652,112.82924357134999,0.030142441163377675,0.035011573968085845
