language,V1,V_total,H_neg_hostility,V_share,H_share
arabic,1,346.80676716,58.12829083084,0.018633503501337544,0.01696725565894977
arabic,2,85.38132615,8.53517306955,0.004587434244127302,0.002491359396509288
arabic,3,68.38983888,10.81969222912,0.0036745024114205648,0.003158195115987006
arabic,4,32.81759899,4.502063268410001,0.0017632494622099935,0.0013141218738079938
arabic,5,283.04680384,49.726341345259996,0.015207758642038837,0.014514783327184887
arabic,6,39.32644841,4.55202901478,0.002112961982096593,0.0013287065378456337
arabic,7,24.143078109999998,3.28664489209,0.0012971780631033714,0.0009593494552687943
arabic,8,364.3132685,62.66378407788,0.019574106410232234,0.018291135517828048
arabic,9,826.28651295,156.63497982284,0.04439536390320364,0.04572069313929559
arabic,10,719.47160168,135.66280129662,0.03865632934097909,0.03959905581445066
arabic,11,172.11214357999998,28.64949011429,0.009247375004482134,0.008362592746487742
arabic,12,829.9105586599999,157.23940328286997,0.044590079447480016,0.04589712026670657
arabic,13,159.1132068,24.10767973664,0.008548958027249252,0.007036868959832494
arabic,14,332.04686109,61.09202296023,0.017840471797582254,0.017832349058828717
arabic,15,387.60766993,61.10865540918,0.02082568611313698,0.017837203958388562
arabic,16,153.28298103,26.25155713935,0.008235707126211432,0.0076626522999806365
arabic,17,189.70367792999997,30.811458773160002,0.010192546633020157,0.008993656802171658
arabic,18,85.69090502,16.03470499238,0.0046040675382389585,0.0046804221340911245
arabic,19,184.3812322,29.632582783870003,0.009906578132584644,0.008649550859702272
arabic,20,178.19215763000003,28.91601267495,0.009574046724346787,0.008440388882602533
arabic,21,153.35541049,25.02272587761,0.008239598672525716,0.0073039647507401485
arabic,22,192.21761957,36.0542571055,0.010327617643123855,0.01052399424030484
arabic,23,703.59520427,178.24873464241,0.03780330992284478,0.05202960225277214
arabic,24,130.30932689000002,26.71877166224,0.007001360782967468,0.007799029064962742
arabic,25,450.00783825,89.60301178943,0.024178370849932622,0.02615451421524584
arabic,26,1104.5791126899999,207.95191249469002,0.05934768497270354,0.06069975933634326
arabic,27,184.19601265,32.33989263053,0.009896626512661816,0.0094397963264054
arabic,28,683.83683515,128.90130303674,0.03674171691186301,0.03762542012048559
arabic,29,312.21745004999997,57.74332776572,0.01677506179111362,0.016854887539196305
arabic,30,209.6941875,44.598072296,0.011266612266503793,0.013017876213574916
arabic,31,335.54541062,63.05243281250999,0.018028444585572234,0.018404579459628857
arabic,32,281.49477642,47.17116028155,0.015124370106683643,0.013768943225176022
arabic,33,379.81651965000003,66.12789356434,0.020407077136124576,0.019302285690097967
arabic,34,637.1766874799999,119.74042712056001,0.034234724236657355,0.03495142228727775
arabic,35,405.24725546,70.38899461443,0.021773439472816253,0.02054607231915774
arabic,36,61.15734951,12.28695312182,0.003285909601935084,0.00358647866482329
arabic,37,156.96850902,28.401895481499995,0.008433726038207632,0.00829032154473235
arabic,38,763.65018371,148.24425872554997,0.04102999052896953,0.04327149829826767
arabic,39,27.780563540000003,4.9601095824699994,0.0014926157071003796,0.0014478225005288515
arabic,40,304.10291333,52.0508408356,0.016339077656138266,0.015193289035299947
arabic,41,494.1901757,87.36553578501,0.026552233812047295,0.025501410075159582
arabic,42,209.81126951,37.658057757150004,0.011272902939725497,0.010992132822974099
arabic,43,586.01632897,97.69059388953,0.031485940736172884,0.028515224829540012
arabic,44,977.55662718,178.96154688408004,0.05252292215771724,0.052237667333791656
arabic,45,1735.22641997,318.94127835615996,0.0932315935957713,0.09309680592208507
arabic,46,64.37322834,11.251408744710002,0.0034586948388824253,0.003284210252291689
arabic,47,621.23041526,128.98223802607998,0.03337795053042928,0.037649044497467234
arabic,48,260.58082454,42.7202399781,0.01400068904712982,0.012469749637564472
arabic,49,222.06746941000003,43.357968729629995,0.011931413572663583,0.01265589835471429
arabic,50,501.97343595999996,81.01878847523001,0.026970418867933534,0.023648837383470265
