language,V1,V_total,H_neg_hostility,V_share,H_share
persian,1,63.46551298999999,13.21410830698,0.017171405029390227,0.017219547176037308
persian,2,59.11496226,8.12284115888,0.01599430797043302,0.010585023468054084
persian,3,77.76232493,16.38870369599,0.021039590078007802,0.02135642072027887
persian,4,10.16665171,2.05462567227,0.0027507174539447895,0.002677420441155476
persian,5,45.05593005,9.23746984325,0.012190457264346527,0.01203751657378527
persian,6,8.61543043,1.4479856520199998,0.002331014726681147,0.0018868966914712655
persian,7,15.072181459999998,2.3668184945,0.004077971174154156,0.0030842446403767042
persian,8,72.20995509,14.34784870608,0.01953732551094075,0.018696945108167894
persian,9,179.9274614,39.86372156267001,0.04868167245565624,0.051947147557298345
persian,10,145.44818006000003,29.246024901440002,0.03935286256949453,0.0381110320728863
persian,11,37.93442074,8.97736040994,0.010263641974886068,0.011698563195035679
persian,12,178.75934331000002,39.63587856967,0.04836562318888819,0.051650241169402256
persian,13,43.49810512,9.81029847525,0.011768967835243095,0.012783980082586585
persian,14,50.69853397,10.24219928367,0.013717135814097031,0.013346797956724062
persian,15,36.87505186,7.0628425752299995,0.009977016195671493,0.009203719849704564
persian,16,52.88054074,9.71752987572,0.014307505611162175,0.012663091617095655
persian,17,61.64474913,12.0233184992,0.016678774114898726,0.015667807111898364
persian,18,15.735763429999999,3.59186717054,0.0042575117504489715,0.004680628064816329
persian,19,29.50167395,6.328563470860001,0.007982054639978744,0.008246867265758451
persian,20,41.80248824,6.89260411713,0.011310197034387225,0.008981878988987514
persian,21,30.150160239999998,5.96949704553,0.008157510887269317,0.007778961213631193
persian,22,36.16758859,6.69105209834,0.00978560297327304,0.008719232852346822
persian,23,49.45680496,10.99601587353,0.013381170172870537,0.014329110196765055
persian,24,44.79233919,8.60168421351,0.012119139390971447,0.011209012645194675
persian,25,68.4662855,14.98949099071,0.018524427894620683,0.019533080951287203
persian,26,184.12709470000001,39.80852825705,0.04981793687662732,0.05187522414726975
persian,27,38.17896201,7.97468852561,0.010329805738412775,0.010391963051219196
persian,28,89.98936020000001,20.06878023702,0.02434777061635611,0.026151996035506244
persian,29,82.37210688,17.21272096399,0.022286825454063058,0.0224302127530489
persian,30,46.33910024,8.96833016972,0.012537635346048969,0.01168679572318916
persian,31,46.21882348,10.423787000330002,0.012505092932629759,0.013583428244668962
persian,32,68.28262371000001,11.61906056517,0.018474735851872842,0.015141011174964813
persian,33,78.56362367000001,16.392684974749997,0.021256391685145967,0.021361608797736395
persian,34,86.53308969,19.82425609296,0.02341263249137635,0.02583335213335984
persian,35,77.54724986,15.533280738770001,0.020981398771190877,0.02024170335720607
persian,36,11.17798501,2.1978049405999998,0.0030243465935492564,0.00286399997481471
persian,37,27.22517295,5.67328027842,0.0073661182222431575,0.007392955705193701
persian,38,133.62633451,27.664924981120002,0.036154311284390596,0.03605067173411128
persian,39,1.64967725,0.21621981186,0.00044634124728471126,0.0002817600071243927
persian,40,51.30305677,10.939596344829999,0.013880697177729854,0.014255588872924664
persian,41,115.69657530999999,24.67751196296,0.031303185959820276,0.032157718974420234
persian,42,39.39259604,7.56972303795,0.010658169924011729,0.00986424508815809
persian,43,135.83087057,22.1182281799,0.036750776668576825,0.028822669282418674
persian,44,197.33972429,39.16688004092,0.05339278254483998,0.051039080574703875
persian,45,322.48262615,71.01162950545,0.0872517927876136,0.09253655834427163
persian,46,14.40457232,2.46496077823,0.0038973409955866374,0.0032121356524217695
persian,47,234.89832407999998,56.4700902473,0.06355474136226072,0.07358721152110036
persian,48,40.99909255,6.21375223091,0.011092828070647341,0.008097254630782993
persian,49,43.73491763,9.83285515714,0.011833040484051233,0.012813374108949645
persian,50,72.88400086,15.526074288619998,0.019719697201954118,0.020232312499688716
