language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
english,2,21,1,0,5,0.6178454369744372,0.10318663246563399,0.10318663246563399,False
english,2,22,1,0,3,0.12900709925524328,-0.10895579040692184,0.10895579040692184,False
english,2,23,1,0,7,0.6402353357273903,0.13265619776079118,0.13265619776079118,False
english,2,24,1,0,6,0.9438766634781321,-0.16963691448498014,0.16963691448498014,False
english,2,25,1,1,4,0.44607038443890124,-0.1554886296681236,0.1554886296681236,False
english,2,26,1,0,2,0.1203823754819281,-0.21225707866205845,0.21225707866205845,False
english,2,27,1,0,4,0.8206284012250197,0.0802237630303463,0.0802237630303463,False
english,2,28,2,1,2,0.3516615563597899,-0.1902158302004271,0.1902158302004271,False
english,2,29,1,0,7,0.003962230286518521,0.27885459146428493,0.27885459146428493,False
english,2,30,1,0,5,0.3077037924741185,-0.1789552002778257,0.1789552002778257,False
english,2,31,2,0,2,1.6203004713810214e-05,0.40625629246761413,0.40625629246761413,True
english,2,32,1,0,7,0.2608705753183819,-0.14484716412888432,0.14484716412888432,False
english,2,33,4,0,6,0.4630567337007617,-0.17878423948968059,0.17878423948968059,False
english,2,34,1,0,4,0.28608578103556537,-0.21651532691717726,0.21651532691717726,False
english,2,35,1,0,6,0.7111652709808612,0.1482025479571662,0.1482025479571662,False
english,2,36,3,0,6,0.7551710020442601,-0.12780393600677278,0.12780393600677278,False
english,2,37,1,0,5,0.5561748447395047,-0.24827332787499362,0.24827332787499362,False
english,2,38,1,0,4,0.1851503504730541,0.21002512772634405,0.21002512772634405,False
english,2,39,1,1,6,0.09518320260156687,0.26507514462963394,0.26507514462963394,False
english,2,40,1,0,6,0.8383065230411563,0.23897776125345846,0.23897776125345846,False
english,2,41,1,0,4,0.841564549643362,0.25688019259152667,0.25688019259152667,False
english,2,42,1,0,4,0.6272590866396033,0.22629389644398076,0.22629389644398076,False
english,2,43,1,0,6,0.21401043568129824,-0.18298248587439495,0.18298248587439495,False
english,2,44,1,0,3,0.9314639989363973,0.2067667197562922,0.2067667197562922,False
english,2,45,1,0,5,0.6994943245272112,0.08683308355045455,0.08683308355045455,False
english,2,46,2,0,2,0.009382869511039291,0.27859522967095685,0.27859522967095685,False
english,2,47,1,0,2,0.00764187222441215,0.2767560675699164,0.2767560675699164,False
english,2,48,2,0,2,0.03769120233898611,0.20360312191307986,0.20360312191307986,False
english,2,49,1,0,1,0.2996372548715192,0.11365617266949314,0.11365617266949314,False
