language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
english,1,28,6,1,3,0.3785038485466028,0.40534654837053175,0.40534654837053175,False
english,1,29,7,1,4,0.6156425698061512,0.3105751733975256,0.3105751733975256,False
english,1,30,6,1,7,0.27626337509029875,0.3243153783826083,0.3243153783826083,False
english,1,31,1,1,1,0.09070458043686777,0.2770952035476857,0.2770952035476857,False
english,1,32,6,1,1,0.9560485192731781,0.3776546859771185,0.3776546859771185,False
english,1,33,6,1,2,0.2188297432146015,0.3271974731269198,0.3271974731269198,False
english,1,34,6,1,4,0.82444818366927,-0.12345446555419831,0.12345446555419831,False
english,1,35,4,1,4,0.2842693211811004,0.4040296135558716,0.4040296135558716,False
english,1,36,1,1,4,0.732178506236449,0.24431929307645692,0.24431929307645692,False
english,1,37,6,1,6,0.23320305965701463,0.30970174468307726,0.30970174468307726,False
english,1,38,2,1,6,0.7354622892324012,-0.10977861296506389,0.10977861296506389,False
english,1,39,6,1,4,0.9365506071788231,-0.07805799780654228,0.07805799780654228,False
english,1,40,6,1,3,0.4503767475840813,-0.16188550252893913,0.16188550252893913,False
english,1,41,6,1,5,0.9813975224664908,-0.14130817292398373,0.14130817292398373,False
english,1,42,6,1,4,0.0061546995092241095,0.39978475121222234,0.39978475121222234,False
english,1,43,1,1,5,0.4890814058790134,0.16204402140311133,0.16204402140311133,False
english,1,44,2,1,6,0.17363048907548279,0.3058644611380809,0.3058644611380809,False
english,1,45,6,1,6,0.6425127916860953,-0.4105350272831411,0.4105350272831411,False
english,1,46,2,1,2,0.0326986216493968,0.3118789175589306,0.3118789175589306,False
english,1,47,6,1,4,0.45074149454101853,0.20258271077175669,0.20258271077175669,False
english,1,48,6,1,5,0.07976102255092779,0.21795809606888966,0.21795809606888966,False
english,1,49,6,1,2,0.3869614402445952,0.3925827135730765,0.3925827135730765,False
english,1,50,2,1,2,0.0065730301483413675,0.3673810611261074,0.3673810611261074,False
english,2,1,6,1,5,0.7555351166158956,0.33584438388100835,0.33584438388100835,False
english,2,3,6,1,1,0.20103167134540134,0.44646421994375285,0.44646421994375285,False
english,2,4,2,1,1,0.14981373179236998,0.48720734621890216,0.48720734621890216,False
english,2,5,2,1,1,0.11541401976747787,0.35948408955355887,0.35948408955355887,False
english,2,6,4,1,2,5.240230847583036e-05,0.3967165451524327,0.3967165451524327,True
english,2,7,6,1,2,0.6200585760023196,0.49412175541318976,0.49412175541318976,False
english,2,8,6,1,1,0.8413341678134225,0.5331535498304718,0.5331535498304718,False
english,2,9,6,1,6,0.019523534557040822,0.45019722219777003,0.45019722219777003,False
english,2,10,2,1,7,0.018280829176746383,0.27856007398925436,0.27856007398925436,False
english,2,11,7,1,1,0.9066807515037337,0.5295877914368022,0.5295877914368022,False
english,2,12,2,1,1,0.5088565647867753,0.5202204253679557,0.5202204253679557,False
english,2,13,2,1,1,0.04171657767950404,0.5563293325885834,0.5563293325885834,False
english,2,14,4,1,2,0.18600128416286227,0.4435857811826032,0.4435857811826032,False
